year,percentage,lower,upper,percentage_npd,lower_npd,upper_npd
2004,14.633679,13.794946,15.301784,14.206407,13.458649,15.075941
2005,14.03999,13.200894,14.711239,13.539836,12.734171,14.332417
2006,13.37601,12.489493,14.17136,12.752393,11.975093,13.554701
2007,12.634226,11.813174,13.413055,11.979246,11.242232,12.705437
2008,11.885257,11.194961,12.592179,11.25358,10.629958,11.912568
2009,11.174449,10.611059,11.888605,10.594764,10.092539,11.143992
2010,10.604027,9.989883,11.356911,10.084357,9.588228,10.741803
2011,10.108279,9.421658,10.948811,9.646978,9.100658,10.527054
2012,9.696626,9.043227,10.604208,9.284097,8.647943,10.23888
2013,9.36661,8.697705,10.395926,8.988996,8.268162,9.933994
2014,9.133846,8.059065,10.478767,8.775575,7.760865,9.789022
